foreground_voxels_slice,foreground_fraction_slice,components_2d,largest_component_fraction,score,iteration,threshold
682155,1.0,1,1.0,0.34998500063090277,1,20439
682155,1.0,1,1.0,0.34998500063090277,2,26439
682048,0.9998431441534549,1,1.0,0.34998500063593135,3,29439
215073,0.3152846493832047,1059,0.9780539630730031,0.6959143201772756,4,32439
69002,0.10115296376923133,231,0.5830410712732964,0.7371141591049167,5,35439
41876,0.06138780775630172,257,0.2803753940204413,0.5153250993524915,6,38439
22046,0.032318168158263154,186,0.01569445704436179,0.3342689579675079,7,44439
