run,percentile,score,improved,median_foreground_fraction,mean_foreground_fraction,mean_component_retention,mean_components,threshold_min,threshold_median,threshold_max
1,92.0,0.5512968149098854,True,0.0800038114504768,0.07991714837968084,0.9988233452928741,512.7647058823529,34915.0,35472.0,43827.0
2,93.0,0.6653736719529841,True,0.07000461771884689,0.0699527923401918,0.9992141633881827,515.7058823529412,35664.0,36226.0,44394.0
3,94.0,0.811871734116214,True,0.06000249210223483,0.059977226152241575,0.9995487353878415,522.0,36629.0,37669.0,45186.76000000001
4,95.0,0.9999283195099969,True,0.05000036648562277,0.04998191285661746,0.9995740486253621,535.3529411764706,37892.0,39088.0,46034.0
5,96.0,0.8118956236936007,False,0.039999706811501785,0.039982029269697635,0.999465401287029,549.7647058823529,39493.0,40762.0,46930.0
6,97.0,0.6654710933262485,False,0.029999047137380802,0.029989820322878145,0.9995487577172282,553.7058823529412,41393.0,42787.0,48083.0
7,98.0,0.551364594389584,False,0.019993989635786587,0.01999071282315948,0.9994223386439283,556.8823529411765,43682.92000000004,45170.92000000004,50468.0
